bandwidth,data_precision,compute_pipeline,Array_i,Array_j,sram_size,M,K,N,m,k,n,dataflow,loops,m_loop_times,k_loop_times,n_loop_times,cmd,ret_code,cycle,computation_cycle,communication_cycle,communication_A_cycle,communication_B_cycle,communication_C_cycle,communication_Y_cycle,PE_utility,throughput,communication_off_chip,communication_on_chip,communication_interval,communication_internal,energy_cost_communication,energy_cost_computation
256,8,1,128,128,65536,256,256,256,128,128,128,ws,nkm,2,2,2,python ./os/nkm/start_repeat.py,0,3210,1280,1216,512,256,256,192,0.3190031152647975,5226.547040498443,327680,524288,50198528,50331648,119013376,16777216
256,8,1,128,128,65536,256,256,256,128,128,128,ws,nmk,2,2,2,python ./os/nmk/start_repeat.py,0,3275,1280,1216,512,256,256,192,0.31267175572519085,5122.814045801527,327680,524288,50198528,50331648,119013376,16777216
256,8,1,128,128,65536,256,256,256,128,128,128,ws,kmn,2,2,2,python ./os/kmn/start_repeat.py,0,3466,1280,1472,256,256,512,448,0.2954414310444316,4840.512406231967,393216,524288,50198528,50331648,132120576,16777216
256,8,1,128,128,65536,256,256,256,128,128,128,ws,knm,2,2,2,python ./os/knm/start_repeat.py,0,3466,1280,1472,256,256,512,448,0.2954414310444316,4840.512406231967,393216,524288,50198528,50331648,132120576,16777216
256,8,1,128,128,65536,256,256,256,128,128,128,ws,mnk,2,2,2,python ./os/mnk/start_repeat.py,0,3275,1280,1216,256,512,256,192,0.31267175572519085,5122.814045801527,327680,524288,50198528,50331648,119013376,16777216
256,8,1,128,128,65536,256,256,256,128,128,128,ws,mkn,2,2,2,python ./os/mkn/start_repeat.py,0,3210,1280,1216,256,512,256,192,0.3190031152647975,5226.547040498443,327680,524288,50198528,50331648,119013376,16777216
256,8,1,128,128,65536,256,256,256,128,128,128,os,nkm,2,2,2,python ./os/nkm/start_repeat.py,0,3210,1280,1216,512,256,256,192,0.3190031152647975,5226.547040498443,327680,524288,50198528,50331648,119013376,16777216
256,8,1,128,128,65536,256,256,256,128,128,128,os,nmk,2,2,2,python ./os/nmk/start_repeat.py,0,3275,1280,1216,512,256,256,192,0.31267175572519085,5122.814045801527,327680,524288,50198528,50331648,119013376,16777216
256,8,1,128,128,65536,256,256,256,128,128,128,os,kmn,2,2,2,python ./os/kmn/start_repeat.py,0,3466,1280,1472,256,256,512,448,0.2954414310444316,4840.512406231967,393216,524288,50198528,50331648,132120576,16777216
256,8,1,128,128,65536,256,256,256,128,128,128,os,knm,2,2,2,python ./os/knm/start_repeat.py,0,3466,1280,1472,256,256,512,448,0.2954414310444316,4840.512406231967,393216,524288,50198528,50331648,132120576,16777216
256,8,1,128,128,65536,256,256,256,128,128,128,os,mnk,2,2,2,python ./os/mnk/start_repeat.py,0,3275,1280,1216,256,512,256,192,0.31267175572519085,5122.814045801527,327680,524288,50198528,50331648,119013376,16777216
256,8,1,128,128,65536,256,256,256,128,128,128,os,mkn,2,2,2,python ./os/mkn/start_repeat.py,0,3210,1280,1216,256,512,256,192,0.3190031152647975,5226.547040498443,327680,524288,50198528,50331648,119013376,16777216
