m,k,n,dataflow,loops
96,96,96,os,kmn
128,128,128,os,kmn
160,160,160,os,kmn
192,192,192,os,kmn
224,224,224,os,kmn
256,256,256,os,kmn
288,288,288,os,kmn
320,320,320,os,kmn
352,352,352,os,kmn
384,384,384,os,kmn
416,416,416,os,kmn
448,448,448,os,kmn
480,480,480,os,kmn
512,512,512,os,kmn
