bandwidth(B),data_precision(bit),compute_pipeline,Array_i(height),Array_j(width)
256,64,6,64,64
256,64,6,64,64
256,64,6,64,64
256,64,6,64,64
256,64,6,64,64
256,64,6,64,64
256,64,6,64,64
256,64,6,64,64
256,64,6,64,64
256,64,6,64,64
256,64,6,64,64
256,64,6,64,64
256,64,6,64,64
256,64,6,64,64
