bandwidth,data_precision,compute_pipeline,Array_i,Array_j,sram_size,M,K,N,m,k,n,dataflow,loops,m_loop_times,k_loop_times,n_loop_times,cmd,ret_code,cycle,computation_cycle,communication_cycle,communication_A_cycle,communication_B_cycle,communication_C_cycle,communication_Y_cycle,PE_utility,throughput,communication_off_chip,communication_on_chip,communication_interval,communication_internal,energy_cost_communication,energy_cost_computation
128,8,1,64,64,2097152,128,128,128,64,64,64,ws,nkm,2,2,2,python ./os/nkm/start_repeat.py,0,1610,640,608,256,128,128,96,0.31801242236024846,1302.5788819875777,81920,131072,6257664,6291456,23461888,2097152
128,8,1,64,64,2097152,128,128,128,64,64,64,ws,nmk,2,2,2,python ./os/nmk/start_repeat.py,0,1643,640,608,256,128,128,96,0.31162507608034085,1276.416311625076,81920,131072,6257664,6291456,23461888,2097152
128,8,1,64,64,2097152,128,128,128,64,64,64,ws,kmn,2,2,2,python ./os/kmn/start_repeat.py,0,1738,640,736,128,128,256,224,0.2945914844649022,1206.6467203682394,98304,131072,6257664,6291456,26738688,2097152
128,8,1,64,64,2097152,128,128,128,64,64,64,ws,knm,2,2,2,python ./os/knm/start_repeat.py,0,1738,640,736,128,128,256,224,0.2945914844649022,1206.6467203682394,98304,131072,6257664,6291456,26738688,2097152
128,8,1,64,64,2097152,128,128,128,64,64,64,ws,mnk,2,2,2,python ./os/mnk/start_repeat.py,0,1643,640,608,128,256,128,96,0.31162507608034085,1276.416311625076,81920,131072,6257664,6291456,23461888,2097152
128,8,1,64,64,2097152,128,128,128,64,64,64,ws,mkn,2,2,2,python ./os/mkn/start_repeat.py,0,1610,640,608,128,256,128,96,0.31801242236024846,1302.5788819875777,81920,131072,6257664,6291456,23461888,2097152
128,8,1,64,64,2097152,128,128,128,64,64,64,os,nkm,2,2,2,python ./os/nkm/start_repeat.py,0,1610,640,608,256,128,128,96,0.31801242236024846,1302.5788819875777,81920,131072,6257664,6291456,23461888,2097152
128,8,1,64,64,2097152,128,128,128,64,64,64,os,nmk,2,2,2,python ./os/nmk/start_repeat.py,0,1643,640,608,256,128,128,96,0.31162507608034085,1276.416311625076,81920,131072,6257664,6291456,23461888,2097152
128,8,1,64,64,2097152,128,128,128,64,64,64,os,kmn,2,2,2,python ./os/kmn/start_repeat.py,0,1738,640,736,128,128,256,224,0.2945914844649022,1206.6467203682394,98304,131072,6257664,6291456,26738688,2097152
128,8,1,64,64,2097152,128,128,128,64,64,64,os,knm,2,2,2,python ./os/knm/start_repeat.py,0,1738,640,736,128,128,256,224,0.2945914844649022,1206.6467203682394,98304,131072,6257664,6291456,26738688,2097152
128,8,1,64,64,2097152,128,128,128,64,64,64,os,mnk,2,2,2,python ./os/mnk/start_repeat.py,0,1643,640,608,128,256,128,96,0.31162507608034085,1276.416311625076,81920,131072,6257664,6291456,23461888,2097152
128,8,1,64,64,2097152,128,128,128,64,64,64,os,mkn,2,2,2,python ./os/mkn/start_repeat.py,0,1610,640,608,128,256,128,96,0.31801242236024846,1302.5788819875777,81920,131072,6257664,6291456,23461888,2097152
128,8,1,64,64,2097152,128,128,128,64,64,128,ws,nkm,2,2,1,python ./os/nkm/start_repeat.py,0,1380,640,511,128,128,128,127,0.3710144927536232,1519.6753623188406,65536,131072,6257664,6291456,20185088,2097152
