bandwidth,data_precision,compute_pipeline,Array_i,Array_j,sram_size,M,K,N,m,k,n,dataflow,loops,m_loop_times,k_loop_times,n_loop_times,cmd,ret_code,cycle,computation_cycle,communication_cycle,communication_A_cycle,communication_B_cycle,communication_C_cycle,communication_Y_cycle,PE_utility,throughput,communication_off_chip,communication_on_chip,communication_interval,communication_internal,energy_cost_communication,energy_cost_computation
64,8,1,64,64,8192,1024,1024,1024,64,64,64,ws,nkm,16,16,16,python ./os/nkm/start_repeat.py,0,940032,262272,802752,262144,16384,262144,262080,0.2788671023965142,1142.2396514161221,51380224,67108864,3203923968,3221225472,13899923456,1073741824
64,8,1,64,64,8192,1024,1024,1024,64,64,64,ws,nmk,16,16,16,python ./os/nmk/start_repeat.py,0,823423,262272,556992,262144,262144,16384,16320,0.31835885079722087,1303.9978528654167,35651584,67108864,3203923968,3221225472,10754195456,1073741824
64,8,1,64,64,8192,1024,1024,1024,64,64,64,ws,kmn,16,16,16,python ./os/kmn/start_repeat.py,0,940032,262272,802752,16384,262144,262144,262080,0.2788671023965142,1142.2396514161221,51380224,67108864,3203923968,3221225472,13899923456,1073741824
64,8,1,64,64,8192,1024,1024,1024,64,64,64,ws,knm,16,16,16,python ./os/knm/start_repeat.py,0,940032,262272,802752,262144,16384,262144,262080,0.2788671023965142,1142.2396514161221,51380224,67108864,3203923968,3221225472,13899923456,1073741824
64,8,1,64,64,8192,1024,1024,1024,64,64,64,ws,mnk,16,16,16,python ./os/mnk/start_repeat.py,0,823423,262272,556992,262144,262144,16384,16320,0.31835885079722087,1303.9978528654167,35651584,67108864,3203923968,3221225472,10754195456,1073741824
64,8,1,64,64,8192,1024,1024,1024,64,64,64,ws,mkn,16,16,16,python ./os/mkn/start_repeat.py,0,940032,262272,802752,16384,262144,262144,262080,0.2788671023965142,1142.2396514161221,51380224,67108864,3203923968,3221225472,13899923456,1073741824
64,8,1,64,64,8192,1024,1024,1024,64,64,64,os,nkm,16,16,16,python ./os/nkm/start_repeat.py,0,940032,262272,802752,262144,16384,262144,262080,0.2788671023965142,1142.2396514161221,51380224,67108864,3203923968,3221225472,13899923456,1073741824
64,8,1,64,64,8192,1024,1024,1024,64,64,64,os,nmk,16,16,16,python ./os/nmk/start_repeat.py,0,823423,262272,556992,262144,262144,16384,16320,0.31835885079722087,1303.9978528654167,35651584,67108864,3203923968,3221225472,10754195456,1073741824
64,8,1,64,64,8192,1024,1024,1024,64,64,64,os,kmn,16,16,16,python ./os/kmn/start_repeat.py,0,940032,262272,802752,16384,262144,262144,262080,0.2788671023965142,1142.2396514161221,51380224,67108864,3203923968,3221225472,13899923456,1073741824
64,8,1,64,64,8192,1024,1024,1024,64,64,64,os,knm,16,16,16,python ./os/knm/start_repeat.py,0,940032,262272,802752,262144,16384,262144,262080,0.2788671023965142,1142.2396514161221,51380224,67108864,3203923968,3221225472,13899923456,1073741824
64,8,1,64,64,8192,1024,1024,1024,64,64,64,os,mnk,16,16,16,python ./os/mnk/start_repeat.py,0,823423,262272,556992,262144,262144,16384,16320,0.31835885079722087,1303.9978528654167,35651584,67108864,3203923968,3221225472,10754195456,1073741824
64,8,1,64,64,8192,1024,1024,1024,64,64,64,os,mkn,16,16,16,python ./os/mkn/start_repeat.py,0,940032,262272,802752,16384,262144,262144,262080,0.2788671023965142,1142.2396514161221,51380224,67108864,3203923968,3221225472,13899923456,1073741824
