bandwidth,data_precision,compute_pipeline,Array_i,Array_j,sram_size,M,K,N,m,k,n,dataflow,loops,m_loop_times,k_loop_times,n_loop_times,cmd,ret_code,cycle,computation_cycle,communication_cycle,communication_A_cycle,communication_B_cycle,communication_C_cycle,communication_Y_cycle,PE_utility,throughput,communication_off_chip,communication_on_chip,communication_interval,communication_internal,energy_cost_communication,energy_cost_computation
32,8,1,32,32,262144,32,32,32,32,32,32,ws,nkm,1,1,1,python ./os/once/start_once.py,0,320,96,128,32,32,32,32,0.1,102.4,4096,4096,97216,98304,1136512,32768
32,8,1,32,32,262144,32,32,32,32,32,32,ws,nmk,1,1,1,python ./os/once/start_once.py,0,320,96,128,32,32,32,32,0.1,102.4,4096,4096,97216,98304,1136512,32768
32,8,1,32,32,262144,32,32,32,32,32,32,ws,kmn,1,1,1,python ./os/once/start_once.py,0,320,96,128,32,32,32,32,0.1,102.4,4096,4096,97216,98304,1136512,32768
32,8,1,32,32,262144,32,32,32,32,32,32,ws,knm,1,1,1,python ./os/once/start_once.py,0,320,96,128,32,32,32,32,0.1,102.4,4096,4096,97216,98304,1136512,32768
32,8,1,32,32,262144,32,32,32,32,32,32,ws,mnk,1,1,1,python ./os/once/start_once.py,0,320,96,128,32,32,32,32,0.1,102.4,4096,4096,97216,98304,1136512,32768
32,8,1,32,32,262144,32,32,32,32,32,32,ws,mkn,1,1,1,python ./os/once/start_once.py,0,320,96,128,32,32,32,32,0.1,102.4,4096,4096,97216,98304,1136512,32768
32,8,1,32,32,262144,32,32,32,32,32,32,os,nkm,1,1,1,python ./os/once/start_once.py,0,320,96,128,32,32,32,32,0.1,102.4,4096,4096,97216,98304,1136512,32768
32,8,1,32,32,262144,32,32,32,32,32,32,os,nmk,1,1,1,python ./os/once/start_once.py,0,320,96,128,32,32,32,32,0.1,102.4,4096,4096,97216,98304,1136512,32768
32,8,1,32,32,262144,32,32,32,32,32,32,os,kmn,1,1,1,python ./os/once/start_once.py,0,320,96,128,32,32,32,32,0.1,102.4,4096,4096,97216,98304,1136512,32768
32,8,1,32,32,262144,32,32,32,32,32,32,os,knm,1,1,1,python ./os/once/start_once.py,0,320,96,128,32,32,32,32,0.1,102.4,4096,4096,97216,98304,1136512,32768
32,8,1,32,32,262144,32,32,32,32,32,32,os,mnk,1,1,1,python ./os/once/start_once.py,0,320,96,128,32,32,32,32,0.1,102.4,4096,4096,97216,98304,1136512,32768
32,8,1,32,32,262144,32,32,32,32,32,32,os,mkn,1,1,1,python ./os/once/start_once.py,0,320,96,128,32,32,32,32,0.1,102.4,4096,4096,97216,98304,1136512,32768
