bandwidth,data_precision,compute_pipeline,Array_i,Array_j,sram_size,M,K,N,m,k,n,dataflow,loops,m_loop_times,k_loop_times,n_loop_times,cmd,ret_code,cycle,computation_cycle,communication_cycle,communication_A_cycle,communication_B_cycle,communication_C_cycle,communication_Y_cycle,PE_utility,throughput,communication_off_chip,communication_on_chip,communication_interval,communication_internal,energy_cost_communication,energy_cost_computation
512,8,1,128,128,262144,2048,2048,2048,128,128,128,ws,nkm,16,16,16,python ./os/nkm/start_repeat.py,0,1448159,524544,401376,131072,8192,131072,131040,0.3620375939382347,5931.623939084037,205520896,268435456,25701646336,25769803776,68484595712,8589934592
512,8,1,128,128,262144,2048,2048,2048,128,128,128,ws,nmk,16,16,16,python ./os/nmk/start_repeat.py,0,1333407,524544,278496,131072,131072,8192,8160,0.3931942760162501,6442.095018250242,142606336,268435456,25701646336,25769803776,55901683712,8589934592
512,8,1,128,128,262144,2048,2048,2048,128,128,128,ws,kmn,16,16,16,python ./os/kmn/start_repeat.py,0,1448159,524544,401376,8192,131072,131072,131040,0.3620375939382347,5931.623939084037,205520896,268435456,25701646336,25769803776,68484595712,8589934592
512,8,1,128,128,262144,2048,2048,2048,128,128,128,ws,knm,16,16,16,python ./os/knm/start_repeat.py,0,1448159,524544,401376,131072,8192,131072,131040,0.3620375939382347,5931.623939084037,205520896,268435456,25701646336,25769803776,68484595712,8589934592
512,8,1,128,128,262144,2048,2048,2048,128,128,128,ws,mnk,16,16,16,python ./os/mnk/start_repeat.py,0,1333407,524544,278496,131072,131072,8192,8160,0.3931942760162501,6442.095018250242,142606336,268435456,25701646336,25769803776,55901683712,8589934592
512,8,1,128,128,262144,2048,2048,2048,128,128,128,ws,mkn,16,16,16,python ./os/mkn/start_repeat.py,0,1448159,524544,401376,8192,131072,131072,131040,0.3620375939382347,5931.623939084037,205520896,268435456,25701646336,25769803776,68484595712,8589934592
512,8,1,128,128,262144,2048,2048,2048,128,128,128,os,nkm,16,16,16,python ./os/nkm/start_repeat.py,0,1448159,524544,401376,131072,8192,131072,131040,0.3620375939382347,5931.623939084037,205520896,268435456,25701646336,25769803776,68484595712,8589934592
512,8,1,128,128,262144,2048,2048,2048,128,128,128,os,nmk,16,16,16,python ./os/nmk/start_repeat.py,0,1333407,524544,278496,131072,131072,8192,8160,0.3931942760162501,6442.095018250242,142606336,268435456,25701646336,25769803776,55901683712,8589934592
512,8,1,128,128,262144,2048,2048,2048,128,128,128,os,kmn,16,16,16,python ./os/kmn/start_repeat.py,0,1448159,524544,401376,8192,131072,131072,131040,0.3620375939382347,5931.623939084037,205520896,268435456,25701646336,25769803776,68484595712,8589934592
512,8,1,128,128,262144,2048,2048,2048,128,128,128,os,knm,16,16,16,python ./os/knm/start_repeat.py,0,1448159,524544,401376,131072,8192,131072,131040,0.3620375939382347,5931.623939084037,205520896,268435456,25701646336,25769803776,68484595712,8589934592
512,8,1,128,128,262144,2048,2048,2048,128,128,128,os,mnk,16,16,16,python ./os/mnk/start_repeat.py,0,1333407,524544,278496,131072,131072,8192,8160,0.3931942760162501,6442.095018250242,142606336,268435456,25701646336,25769803776,55901683712,8589934592
