m,k,n,dataflow,loops
128,128,128,ws,nkm
128,128,128,ws,nmk
128,128,128,ws,kmn
128,128,128,ws,knm
128,128,128,ws,mnk
128,128,128,ws,mkn
128,128,128,os,nkm
128,128,128,os,nmk
128,128,128,os,kmn
128,128,128,os,knm
128,128,128,os,mnk
128,128,128,os,mkn
128,128,256,ws,nkm
128,128,256,ws,nmk
128,128,256,ws,kmn
128,128,256,ws,knm
128,128,256,ws,mnk
128,128,256,ws,mkn
128,128,256,os,nkm
128,128,256,os,nmk
128,128,256,os,kmn
128,128,256,os,knm
128,128,256,os,mnk
128,128,256,os,mkn
128,256,128,ws,nkm
128,256,128,ws,nmk
128,256,128,ws,kmn
128,256,128,ws,knm
128,256,128,ws,mnk
128,256,128,ws,mkn
128,256,128,os,nkm
128,256,128,os,nmk
128,256,128,os,kmn
128,256,128,os,knm
128,256,128,os,mnk
128,256,128,os,mkn
128,256,256,ws,nkm
128,256,256,ws,nmk
128,256,256,ws,kmn
128,256,256,ws,knm
128,256,256,ws,mnk
128,256,256,ws,mkn
128,256,256,os,nkm
128,256,256,os,nmk
128,256,256,os,kmn
128,256,256,os,knm
128,256,256,os,mnk
128,256,256,os,mkn
256,128,128,ws,nkm
256,128,128,ws,nmk
256,128,128,ws,kmn
256,128,128,ws,knm
256,128,128,ws,mnk
256,128,128,ws,mkn
256,128,128,os,nkm
256,128,128,os,nmk
256,128,128,os,kmn
256,128,128,os,knm
256,128,128,os,mnk
256,128,128,os,mkn
256,128,256,ws,nkm
256,128,256,ws,nmk
256,128,256,ws,kmn
256,128,256,ws,knm
256,128,256,ws,mnk
256,128,256,ws,mkn
256,128,256,os,nkm
256,128,256,os,nmk
256,128,256,os,kmn
256,128,256,os,knm
256,128,256,os,mnk
256,128,256,os,mkn
256,256,128,ws,nkm
256,256,128,ws,nmk
256,256,128,ws,kmn
256,256,128,ws,knm
256,256,128,ws,mnk
256,256,128,ws,mkn
256,256,128,os,nkm
256,256,128,os,nmk
256,256,128,os,kmn
256,256,128,os,knm
256,256,128,os,mnk
256,256,128,os,mkn
256,256,256,ws,nkm
256,256,256,ws,nmk
256,256,256,ws,kmn
256,256,256,ws,knm
256,256,256,ws,mnk
256,256,256,ws,mkn
256,256,256,os,nkm
256,256,256,os,nmk
256,256,256,os,kmn
256,256,256,os,knm
256,256,256,os,mnk
256,256,256,os,mkn
